branch,i,j,k,r_ijk_analytic_pmV,r_ijk_findiff_pmV,rel_diff,method,rotation_applied
LDA@B0-geometry,z,z,y,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@B0-geometry,x,x,z,37.716147,37.716147,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@B0-geometry,x,y,z,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@B0-geometry,x,z,z,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@B0-geometry,y,x,z,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@B0-geometry,y,y,z,37.716147,37.716147,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@B0-geometry,y,z,z,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@B0-geometry,z,x,z,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@B0-geometry,z,y,z,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@B0-geometry,z,z,z,28.837002,28.837002,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA-relaxed@k6,x,x,x,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA-relaxed@k6,x,y,x,-22.591059,-22.591059,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA-relaxed@k6,x,z,x,35.071399,35.071399,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA-relaxed@k6,y,x,x,-22.591059,-22.591059,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA-relaxed@k6,y,y,x,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA-relaxed@k6,y,z,x,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA-relaxed@k6,z,x,x,35.071399,35.071399,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA-relaxed@k6,z,y,x,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA-relaxed@k6,z,z,x,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA-relaxed@k6,x,x,y,-22.591059,-22.591059,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA-relaxed@k6,x,y,y,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA-relaxed@k6,x,z,y,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA-relaxed@k6,y,x,y,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA-relaxed@k6,y,y,y,22.591059,22.591059,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA-relaxed@k6,y,z,y,35.071399,35.071399,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA-relaxed@k6,z,x,y,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA-relaxed@k6,z,y,y,35.071399,35.071399,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA-relaxed@k6,z,z,y,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA-relaxed@k6,x,x,z,34.641094,34.641094,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA-relaxed@k6,x,y,z,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA-relaxed@k6,x,z,z,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA-relaxed@k6,y,x,z,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA-relaxed@k6,y,y,z,34.641094,34.641094,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA-relaxed@k6,y,z,z,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA-relaxed@k6,z,x,z,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA-relaxed@k6,z,y,z,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA-relaxed@k6,z,z,z,32.490292,32.490292,1e-10,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
